step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,9.397633955515555,0.00812530517578125,0.246337890625,0.0006246566772460938,0.00013637542724609375,0.00013828277587890625,0.0012989044189453125,0.0004723288796163055
1,925,1,injection,9.397633955515555,0.027191162109375,0.323974609375,0.006134033203125,0.001338958740234375,0.001354217529296875,0.012725830078125,0.004515332640331038
2,892,1,injection,9.397633955515555,0.0193328857421875,0.35546875,0.00493621826171875,0.0010776519775390625,0.0010976791381835938,0.01032257080078125,0.0035855876865659186
3,859,1,injection,9.397633955515555,0.033050537109375,0.392578125,0.01210784912109375,0.0026454925537109375,0.0026950836181640625,0.02532958984375,0.008645833333330383
4,826,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,9.397633955515555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
