rank,feature_id,rank_by,rank_score,active_ratio,mean_activation,std_activation
1,6529,active_ratio,1.0,1.0,43.12062454223633,1.7230044603347778
2,8504,active_ratio,1.0,1.0,1.5600022077560425,0.41798466444015503
3,8313,active_ratio,1.0,1.0,1.506201148033142,0.6365360617637634
4,6384,active_ratio,1.0,1.0,1.178322434425354,0.5564910769462585
5,9819,active_ratio,1.0,1.0,1.0589728355407715,0.3379194140434265
6,5504,active_ratio,1.0,1.0,1.0234135389328003,0.3906837999820709
7,88,active_ratio,1.0,1.0,0.8586267232894897,0.35086390376091003
8,9960,active_ratio,1.0,1.0,0.8426671624183655,0.38616490364074707
9,7181,active_ratio,1.0,1.0,0.7822648286819458,0.3243477940559387
10,7876,active_ratio,1.0,1.0,0.729159414768219,0.247726708650589
11,3147,active_ratio,1.0,1.0,0.7065466046333313,0.26320967078208923
12,4594,active_ratio,1.0,1.0,0.667107105255127,0.26667729020118713
13,4513,active_ratio,1.0,1.0,0.6605689525604248,0.20736807584762573
14,5490,active_ratio,1.0,1.0,0.6315084099769592,0.210245281457901
15,5356,active_ratio,1.0,1.0,0.6207200288772583,0.30985623598098755
16,4045,active_ratio,1.0,1.0,0.6090940833091736,0.290892630815506
17,4360,active_ratio,1.0,1.0,0.6066545248031616,0.3288312554359436
18,1569,active_ratio,1.0,1.0,0.5986790060997009,0.48080238699913025
19,10200,active_ratio,1.0,1.0,0.5936866402626038,0.33430778980255127
20,3055,active_ratio,1.0,1.0,0.5872367024421692,0.2650631368160248
21,2402,active_ratio,1.0,1.0,0.5862510800361633,0.34411150217056274
22,7533,active_ratio,1.0,1.0,0.5797392725944519,0.21270324289798737
23,6109,active_ratio,1.0,1.0,0.5747924447059631,0.46877536177635193
24,7731,active_ratio,1.0,1.0,0.5511015057563782,0.27195510268211365
25,946,active_ratio,1.0,1.0,0.549506664276123,0.3317696154117584
26,8228,active_ratio,1.0,1.0,0.5472591519355774,0.21793924272060394
27,7913,active_ratio,1.0,1.0,0.5416550636291504,0.28172579407691956
28,7981,active_ratio,1.0,1.0,0.5396342277526855,0.29674407839775085
29,7914,active_ratio,1.0,1.0,0.5249276757240295,0.1946445256471634
30,522,active_ratio,1.0,1.0,0.5144709944725037,0.22201178967952728
31,5979,active_ratio,1.0,1.0,0.5093648433685303,0.20595358312129974
32,9486,active_ratio,1.0,1.0,0.498304158449173,0.312465101480484
33,5141,active_ratio,1.0,1.0,0.493217408657074,0.3552820086479187
34,4278,active_ratio,1.0,1.0,0.4919269382953644,0.24523796141147614
35,3816,active_ratio,1.0,1.0,0.49071764945983887,0.2706196904182434
36,739,active_ratio,1.0,1.0,0.48596814274787903,0.22348615527153015
37,1781,active_ratio,1.0,1.0,0.4762842357158661,0.23880241811275482
38,5902,active_ratio,1.0,1.0,0.4745900630950928,0.42408159375190735
39,9019,active_ratio,1.0,1.0,0.4718310236930847,0.19482862949371338
40,8751,active_ratio,1.0,1.0,0.4629853367805481,0.25493213534355164
41,8001,active_ratio,1.0,1.0,0.45736566185951233,0.3235577344894409
42,8090,active_ratio,1.0,1.0,0.4541515111923218,0.27081844210624695
43,9998,active_ratio,1.0,1.0,0.44782787561416626,0.3494611084461212
44,9422,active_ratio,1.0,1.0,0.42400020360946655,0.16429390013217926
45,9028,active_ratio,1.0,1.0,0.42286932468414307,0.17285345494747162
46,8878,active_ratio,1.0,1.0,0.4127713739871979,0.22061744332313538
47,9216,active_ratio,1.0,1.0,0.4075825810432434,0.16400329768657684
48,7594,active_ratio,1.0,1.0,0.404255747795105,0.3179738521575928
49,4070,active_ratio,1.0,1.0,0.40169066190719604,0.18272683024406433
50,3868,active_ratio,1.0,1.0,0.3935405910015106,0.313311904668808
51,4871,active_ratio,1.0,1.0,0.38199207186698914,0.37442144751548767
52,5122,active_ratio,1.0,1.0,0.3766299784183502,0.14341780543327332
53,6732,active_ratio,1.0,1.0,0.37575000524520874,0.18239036202430725
54,8815,active_ratio,1.0,1.0,0.3682766258716583,0.2081480622291565
55,6911,active_ratio,1.0,1.0,0.3648856580257416,0.17385706305503845
56,10132,active_ratio,1.0,1.0,0.3630751371383667,0.17063969373703003
57,6728,active_ratio,1.0,1.0,0.35774126648902893,0.1884332001209259
58,3599,active_ratio,1.0,1.0,0.35727429389953613,0.1975770890712738
59,9010,active_ratio,1.0,1.0,0.35381802916526794,0.1928931176662445
60,5062,active_ratio,1.0,1.0,0.3515312373638153,0.33309322595596313
61,6750,active_ratio,1.0,1.0,0.3511676788330078,0.30208465456962585
62,4965,active_ratio,1.0,1.0,0.35066431760787964,0.25828051567077637
63,4244,active_ratio,1.0,1.0,0.3461087942123413,0.36489051580429077
64,7588,active_ratio,1.0,1.0,0.33790820837020874,0.16982993483543396
65,133,active_ratio,1.0,1.0,0.33726322650909424,0.20376957952976227
66,9250,active_ratio,1.0,1.0,0.336349219083786,0.2812994122505188
67,3140,active_ratio,1.0,1.0,0.3338131606578827,0.21935142576694489
68,5471,active_ratio,1.0,1.0,0.3318931758403778,0.20889778435230255
69,2906,active_ratio,1.0,1.0,0.33006882667541504,0.22820207476615906
70,2543,active_ratio,1.0,1.0,0.3282180726528168,0.16119717061519623
71,8461,active_ratio,1.0,1.0,0.3167193531990051,0.19172552227973938
72,8635,active_ratio,1.0,1.0,0.3120763301849365,0.21917973458766937
73,7178,active_ratio,1.0,1.0,0.30483153462409973,0.21123746037483215
74,1258,active_ratio,1.0,1.0,0.3002077639102936,0.13485898077487946
75,8741,active_ratio,1.0,1.0,0.29469922184944153,0.16780522465705872
76,2221,active_ratio,1.0,1.0,0.29274997115135193,0.23963826894760132
77,2660,active_ratio,1.0,1.0,0.2909659445285797,0.1666078120470047
78,8129,active_ratio,1.0,1.0,0.29064786434173584,0.24077776074409485
79,8927,active_ratio,1.0,1.0,0.2850780487060547,0.14679069817066193
80,9914,active_ratio,1.0,1.0,0.2828401029109955,0.2388237565755844
81,3067,active_ratio,1.0,1.0,0.28176477551460266,0.1341651827096939
82,2382,active_ratio,1.0,1.0,0.2775478959083557,0.1840353012084961
83,6190,active_ratio,1.0,1.0,0.27566206455230713,0.18492566049098969
84,8863,active_ratio,1.0,1.0,0.272530198097229,0.24870459735393524
85,5579,active_ratio,1.0,1.0,0.26377955079078674,0.13526012003421783
86,8631,active_ratio,1.0,1.0,0.2575259506702423,0.1383563131093979
87,2946,active_ratio,1.0,1.0,0.2523612082004547,0.20130164921283722
88,2291,active_ratio,1.0,1.0,0.25004395842552185,0.23762544989585876
89,5681,active_ratio,1.0,1.0,0.2468823343515396,0.19621942937374115
90,1460,active_ratio,1.0,1.0,0.24393008649349213,0.14423251152038574
91,10029,active_ratio,1.0,1.0,0.24155142903327942,0.1496022641658783
92,6018,active_ratio,1.0,1.0,0.23810425400733948,0.15777970850467682
93,1191,active_ratio,1.0,1.0,0.23518560826778412,0.18294939398765564
94,4080,active_ratio,1.0,1.0,0.23188632726669312,0.1394822746515274
95,7767,active_ratio,1.0,1.0,0.23066389560699463,0.11662665009498596
96,7945,active_ratio,1.0,1.0,0.22638548910617828,0.19014739990234375
97,7059,active_ratio,1.0,1.0,0.22484464943408966,0.17327874898910522
98,6620,active_ratio,1.0,1.0,0.22284656763076782,0.20601561665534973
99,5837,active_ratio,1.0,1.0,0.2151440531015396,0.13703535497188568
100,72,active_ratio,1.0,1.0,0.2046048790216446,0.16000697016716003
101,6289,active_ratio,1.0,1.0,0.19750788807868958,0.11760935932397842
102,8870,active_ratio,1.0,1.0,0.1961679309606552,0.14344355463981628
103,7744,active_ratio,1.0,1.0,0.1917770802974701,0.1598280370235443
104,4445,active_ratio,1.0,1.0,0.1869882494211197,0.1428048312664032
105,7978,active_ratio,1.0,1.0,0.18253684043884277,0.12336878478527069
106,5488,active_ratio,1.0,1.0,0.16209548711776733,0.10687729716300964
107,559,active_ratio,1.0,1.0,0.15415512025356293,0.07591728121042252
108,1368,active_ratio,1.0,1.0,0.1410229355096817,0.09992700815200806
109,413,active_ratio,1.0,1.0,0.11770686507225037,0.07964736968278885
110,10179,active_ratio,0.9990000128746033,0.9990000128746033,0.7593352794647217,0.429208904504776
111,3856,active_ratio,0.9990000128746033,0.9990000128746033,0.7058181762695312,0.2800074815750122
112,8305,active_ratio,0.9990000128746033,0.9990000128746033,0.6816179156303406,0.466598778963089
113,8268,active_ratio,0.9990000128746033,0.9990000128746033,0.5184614658355713,0.3368239104747772
114,598,active_ratio,0.9990000128746033,0.9990000128746033,0.509488046169281,0.3331605792045593
115,326,active_ratio,0.9990000128746033,0.9990000128746033,0.413415789604187,0.26408302783966064
116,4242,active_ratio,0.9990000128746033,0.9990000128746033,0.40780678391456604,0.36405614018440247
117,7238,active_ratio,0.9990000128746033,0.9990000128746033,0.38564789295196533,0.2760893404483795
118,84,active_ratio,0.9990000128746033,0.9990000128746033,0.3819403648376465,0.2785603404045105
119,3230,active_ratio,0.9990000128746033,0.9990000128746033,0.3612269461154938,0.22029626369476318
120,8554,active_ratio,0.9990000128746033,0.9990000128746033,0.3529243767261505,0.20935839414596558
121,5928,active_ratio,0.9990000128746033,0.9990000128746033,0.3243488073348999,0.29188045859336853
122,3709,active_ratio,0.9990000128746033,0.9990000128746033,0.3119365870952606,0.22977571189403534
123,3429,active_ratio,0.9990000128746033,0.9990000128746033,0.3036952018737793,0.21419064700603485
124,9603,active_ratio,0.9990000128746033,0.9990000128746033,0.287433922290802,0.15528663992881775
125,4721,active_ratio,0.9990000128746033,0.9990000128746033,0.24130098521709442,0.2533969283103943
126,300,active_ratio,0.9990000128746033,0.9990000128746033,0.2395717203617096,0.14733226597309113
127,5480,active_ratio,0.9990000128746033,0.9990000128746033,0.23779132962226868,0.16373983025550842
128,870,active_ratio,0.9990000128746033,0.9990000128746033,0.23299437761306763,0.21913091838359833
129,10127,active_ratio,0.9990000128746033,0.9990000128746033,0.23064646124839783,0.16141223907470703
130,6086,active_ratio,0.9990000128746033,0.9990000128746033,0.2248009592294693,0.15544493496418
131,7894,active_ratio,0.9990000128746033,0.9990000128746033,0.21606747806072235,0.19170832633972168
132,1822,active_ratio,0.9990000128746033,0.9990000128746033,0.21572573482990265,0.14457997679710388
133,9253,active_ratio,0.9990000128746033,0.9990000128746033,0.20229193568229675,0.15368744730949402
134,3730,active_ratio,0.9990000128746033,0.9990000128746033,0.1944068819284439,0.1439470648765564
135,7014,active_ratio,0.9990000128746033,0.9990000128746033,0.1874559223651886,0.12117274105548859
136,3107,active_ratio,0.9990000128746033,0.9990000128746033,0.1865382194519043,0.15268927812576294
137,5717,active_ratio,0.9990000128746033,0.9990000128746033,0.16593009233474731,0.12957052886486053
138,877,active_ratio,0.9990000128746033,0.9990000128746033,0.13883434236049652,0.13048158586025238
139,2313,active_ratio,0.9980000257492065,0.9980000257492065,1.2343369722366333,0.6095619201660156
140,5535,active_ratio,0.9980000257492065,0.9980000257492065,0.592836856842041,0.36375051736831665
141,1424,active_ratio,0.9980000257492065,0.9980000257492065,0.581299901008606,0.31132352352142334
142,7515,active_ratio,0.9980000257492065,0.9980000257492065,0.4317055344581604,0.38343408703804016
143,1904,active_ratio,0.9980000257492065,0.9980000257492065,0.41307559609413147,0.25243833661079407
144,5894,active_ratio,0.9980000257492065,0.9980000257492065,0.378807008266449,0.2586977481842041
145,7532,active_ratio,0.9980000257492065,0.9980000257492065,0.33488959074020386,0.2326396107673645
146,272,active_ratio,0.9980000257492065,0.9980000257492065,0.3313111960887909,0.24883654713630676
147,5166,active_ratio,0.9980000257492065,0.9980000257492065,0.29713907837867737,0.22717690467834473
148,9748,active_ratio,0.9980000257492065,0.9980000257492065,0.29125210642814636,0.18741483986377716
149,6433,active_ratio,0.9980000257492065,0.9980000257492065,0.24759672582149506,0.1478024572134018
150,8423,active_ratio,0.9980000257492065,0.9980000257492065,0.24194654822349548,0.19575205445289612
151,10145,active_ratio,0.9980000257492065,0.9980000257492065,0.22676017880439758,0.21183447539806366
152,6503,active_ratio,0.9980000257492065,0.9980000257492065,0.19847472012043,0.19840285181999207
153,3493,active_ratio,0.9980000257492065,0.9980000257492065,0.18551278114318848,0.1284249871969223
154,7197,active_ratio,0.9980000257492065,0.9980000257492065,0.18417423963546753,0.1319083571434021
155,9072,active_ratio,0.9980000257492065,0.9980000257492065,0.15932102501392365,0.15304289758205414
156,10104,active_ratio,0.9980000257492065,0.9980000257492065,0.1539120227098465,0.10019270330667496
157,361,active_ratio,0.9980000257492065,0.9980000257492065,0.15206962823867798,0.10434909909963608
158,10225,active_ratio,0.9980000257492065,0.9980000257492065,0.1407751739025116,0.08659017831087112
159,331,active_ratio,0.9980000257492065,0.9980000257492065,0.11951970309019089,0.07270029187202454
160,1939,active_ratio,0.996999979019165,0.996999979019165,0.3436829447746277,0.2502520680427551
161,9735,active_ratio,0.996999979019165,0.996999979019165,0.32547205686569214,0.2504761219024658
162,927,active_ratio,0.996999979019165,0.996999979019165,0.2865779995918274,0.2202492505311966
163,6318,active_ratio,0.996999979019165,0.996999979019165,0.26893743872642517,0.24624133110046387
164,1997,active_ratio,0.996999979019165,0.996999979019165,0.2637161910533905,0.1961802989244461
165,2893,active_ratio,0.996999979019165,0.996999979019165,0.25358957052230835,0.17645476758480072
166,7628,active_ratio,0.996999979019165,0.996999979019165,0.2408805638551712,0.30587759613990784
167,2762,active_ratio,0.996999979019165,0.996999979019165,0.22587528824806213,0.1615058034658432
168,4473,active_ratio,0.996999979019165,0.996999979019165,0.22138498723506927,0.14044427871704102
169,1263,active_ratio,0.996999979019165,0.996999979019165,0.21195021271705627,0.1902598738670349
170,4989,active_ratio,0.996999979019165,0.996999979019165,0.19964341819286346,0.13274675607681274
171,8205,active_ratio,0.996999979019165,0.996999979019165,0.19827255606651306,0.12667301297187805
172,44,active_ratio,0.996999979019165,0.996999979019165,0.18843646347522736,0.14420130848884583
173,8435,active_ratio,0.996999979019165,0.996999979019165,0.18425646424293518,0.1478106528520584
174,3228,active_ratio,0.996999979019165,0.996999979019165,0.17825469374656677,0.11316881328821182
175,4563,active_ratio,0.996999979019165,0.996999979019165,0.15310560166835785,0.17042049765586853
176,645,active_ratio,0.9959999918937683,0.9959999918937683,0.544293224811554,0.3725348711013794
177,9642,active_ratio,0.9959999918937683,0.9959999918937683,0.46016302704811096,0.46722307801246643
178,5815,active_ratio,0.9959999918937683,0.9959999918937683,0.34898141026496887,0.33855390548706055
179,8668,active_ratio,0.9959999918937683,0.9959999918937683,0.31739065051078796,0.2649472951889038
180,180,active_ratio,0.9959999918937683,0.9959999918937683,0.30506715178489685,0.25344619154930115
181,4785,active_ratio,0.9959999918937683,0.9959999918937683,0.2992425560951233,0.23463164269924164
182,6606,active_ratio,0.9959999918937683,0.9959999918937683,0.25426095724105835,0.16989201307296753
183,8247,active_ratio,0.9959999918937683,0.9959999918937683,0.23615185916423798,0.245231494307518
184,6902,active_ratio,0.9959999918937683,0.9959999918937683,0.23171710968017578,0.13257218897342682
185,482,active_ratio,0.9959999918937683,0.9959999918937683,0.18995749950408936,0.13680151104927063
186,2199,active_ratio,0.9959999918937683,0.9959999918937683,0.188616544008255,0.1212596520781517
187,281,active_ratio,0.9959999918937683,0.9959999918937683,0.18808969855308533,0.12758997082710266
188,8365,active_ratio,0.9959999918937683,0.9959999918937683,0.18135148286819458,0.14525023102760315
189,8502,active_ratio,0.9959999918937683,0.9959999918937683,0.17484353482723236,0.11648344993591309
190,4854,active_ratio,0.9950000047683716,0.9950000047683716,0.4369877874851227,0.2956234812736511
191,2355,active_ratio,0.9950000047683716,0.9950000047683716,0.4182452857494354,0.4022180438041687
192,7879,active_ratio,0.9950000047683716,0.9950000047683716,0.33787912130355835,0.35073214769363403
193,933,active_ratio,0.9950000047683716,0.9950000047683716,0.28025683760643005,0.1799706667661667
194,1059,active_ratio,0.9950000047683716,0.9950000047683716,0.2479383945465088,0.14281590282917023
